,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
0,1.471,0.696,0.0,0.0,0.0,4.058,53.264,,,0.696
1,1.471,0.696,0.0,0.0,0.0,4.058,53.264,,,0.696
2,1.471,0.696,0.0,0.0,0.0,4.058,53.264,,,0.696
3,1.471,0.696,0.0,0.0,0.0,4.058,53.264,,,0.696
4,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
5,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
6,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
7,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
8,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
9,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
10,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
11,1.387,0.704,0.0,0.0,0.0,4.279,50.225,,,0.704
12,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
13,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
14,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
15,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
16,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
17,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
18,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
19,1.391,0.706,0.0,0.0,0.0,4.392,49.517,,,0.706
20,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
21,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
22,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
23,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
24,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
25,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
26,1.391,0.707,0.0,0.0,0.0,4.146,53.061,,,0.707
27,1.397,0.735,0.0,0.0,0.0,4.145,50.364,,,0.735
28,1.397,0.735,0.0,0.0,0.0,4.145,50.364,,,0.735
29,1.397,0.735,0.0,0.0,0.0,4.145,50.364,,,0.735
30,1.328,0.702,0.0,0.0,0.0,4.174,50.249,,,0.702
31,1.328,0.702,0.0,0.0,0.0,4.174,50.249,,,0.702
32,1.328,0.702,0.0,0.0,0.0,4.174,50.249,,,0.702
33,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
34,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
35,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
36,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
37,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
38,1.33,0.692,0.0,0.0,0.0,4.175,53.015,,,0.692
39,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
40,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
41,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
42,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
43,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
44,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
45,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
46,1.331,0.739,0.0,0.0,0.0,4.034,49.849,,,0.739
47,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
48,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
49,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
50,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
51,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
52,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
53,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
54,1.331,0.741,0.0,0.0,0.0,3.94,53.261,,,0.741
55,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
56,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
57,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
58,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
59,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
60,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
61,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
62,1.266,0.741,0.0,0.0,0.0,3.967,49.897,,,0.741
63,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
64,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
65,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
66,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
67,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
68,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
69,1.268,0.742,0.0,0.0,0.0,4.159,49.49,,,0.742
70,1.333,0.718,0.0,0.0,0.0,3.957,52.834,,,0.718
71,1.333,0.718,0.0,0.0,0.0,3.957,52.834,,,0.718
72,1.333,0.718,0.0,0.0,0.0,3.957,52.834,,,0.718
73,1.27,0.761,0.0,0.0,0.0,3.909,50.356,,,0.761
74,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
75,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
76,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
77,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
78,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
79,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
80,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
81,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
82,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
83,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
84,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
85,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
86,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
87,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
88,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
89,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
90,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
91,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
92,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
93,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
94,1.437,0.667,0.0,0.0,0.0,4.096,55.047,,,0.667
95,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
96,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
97,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
98,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
99,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
100,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
101,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
102,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
103,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
104,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
105,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
106,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
107,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
108,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
109,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
110,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
111,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
112,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
113,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
114,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
115,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
116,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
117,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
118,1.432,0.714,0.0,0.0,0.0,4.215,54.567,,,0.714
119,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
120,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
121,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
122,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
123,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
124,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
125,1.431,0.707,0.0,0.0,0.0,4.098,58.874,,,0.707
