,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
0,15.543,7.835,0.173,0.0,0.008,399.931,552.0,,,8.016
1,16.32,8.608,0.181,0.0,0.008,419.927,570.0,,,8.797
2,17.788,8.092,0.198,0.0,0.007,457.721,546.0,,,8.296
3,18.367,7.516,0.202,0.0,0.007,466.875,588.0,,,7.725
4,15.884,7.019,0.21,0.0,0.007,438.661,576.0,,,7.235
5,16.996,7.946,0.224,0.0,0.006,469.367,558.0,,,8.177
6,15.472,6.994,0.243,0.0,0.007,470.42,588.0,,,7.243
7,15.936,7.936,0.225,0.0,0.007,513.936,582.0,,,8.168
8,16.127,7.494,0.238,0.0,0.007,513.936,600.0,,,7.738
9,17.418,8.093,0.246,0.0,0.006,529.284,552.0,,,8.346
10,16.117,8.093,0.246,0.0,0.006,529.284,600.0,,,8.346
11,16.6,9.155,0.261,0.0,0.006,534.686,582.0,,,9.422
12,18.173,8.196,0.246,0.0,0.006,493.174,570.0,,,8.448
13,19.698,10.392,0.29,0.0,0.006,539.298,546.0,,,10.687
14,20.924,12.218,0.324,0.0,0.004,579.235,576.0,,,12.546
15,19.577,11.03,0.3,0.0,0.004,540.635,570.0,,,11.334
16,19.978,10.979,0.286,0.0,0.004,549.756,570.0,,,11.268
17,19.458,9.578,0.272,0.0,0.003,517.28,558.0,,,9.853
18,19.05,8.426,0.234,0.0,0.004,501.871,552.0,,,8.663
19,18.423,8.136,0.25,0.0,0.004,469.502,594.0,,,8.39
20,19.698,9.136,0.262,0.0,0.004,524.147,594.0,,,9.402
21,18.319,8.496,0.244,0.0,0.004,487.457,558.0,,,8.744
22,19.856,9.753,0.264,0.0,0.003,531.14,582.0,,,10.021
23,18.521,8.667,0.241,0.0,0.003,481.829,588.0,,,8.911
24,19.836,9.1,0.253,0.0,0.004,534.253,570.0,,,9.357
25,19.383,9.852,0.263,0.0,0.004,511.536,588.0,,,10.118
26,19.773,10.235,0.246,0.0,0.003,530.526,558.0,,,10.485
27,19.925,10.378,0.277,0.0,0.003,531.161,546.0,,,10.658
28,21.181,10.69,0.313,0.0,0.003,575.324,582.0,,,11.005
29,20.546,12.162,0.297,0.0,0.003,569.754,558.0,,,12.461
30,20.869,11.93,0.318,0.0,0.003,577.794,588.0,,,12.25
31,19.513,11.202,0.322,0.0,0.003,514.671,588.0,,,11.527
32,21.716,11.538,0.351,0.0,0.002,530.111,582.0,,,11.891
33,20.713,12.241,0.312,0.0,0.002,566.06,552.0,,,12.555
34,20.1,10.85,0.27,0.0,0.002,540.493,546.0,,,11.122
35,20.614,12.255,0.301,0.0,0.002,572.431,600.0,,,12.558
36,20.802,12.028,0.293,0.0,0.002,567.74,600.0,,,12.323
37,19.489,11.908,0.29,0.0,0.002,515.437,594.0,,,12.199
38,19.627,11.669,0.259,0.0,0.002,509.184,588.0,,,11.93
39,20.604,10.27,0.263,0.0,0.002,551.859,570.0,,,10.535
40,19.162,9.551,0.245,0.0,0.002,513.229,558.0,,,9.798
41,19.839,9.725,0.255,0.0,0.002,533.001,558.0,,,9.982
42,19.309,9.213,0.246,0.0,0.002,502.189,594.0,,,9.462
43,20.679,9.95,0.277,0.0,0.002,561.057,552.0,,,10.229
44,19.952,10.195,0.265,0.0,0.002,529.869,588.0,,,10.463
45,20.272,10.619,0.27,0.0,0.002,547.349,570.0,,,10.891
46,20.746,11.437,0.277,0.0,0.002,554.665,570.0,,,11.716
47,19.842,10.751,0.253,0.0,0.002,519.669,564.0,,,11.006
48,18.965,10.536,0.229,0.0,0.002,489.379,588.0,,,10.767
49,19.757,9.798,0.23,0.0,0.002,512.93,558.0,,,10.03
50,18.571,9.21,0.216,0.0,0.002,477.025,564.0,,,9.428
51,20.442,10.282,0.218,0.0,0.002,481.795,594.0,,,10.502
52,18.95,8.803,0.232,0.0,0.002,485.565,570.0,,,9.037
53,20.792,9.507,0.251,0.0,0.002,524.41,552.0,,,9.76
54,19.947,10.106,0.264,0.0,0.002,524.336,564.0,,,10.373
55,21.127,11.584,0.287,0.0,0.002,576.24,582.0,,,11.873
56,20.751,11.447,0.285,0.0,0.002,557.729,564.0,,,11.734
57,22.404,12.133,0.302,0.0,0.002,615.179,564.0,,,12.438
58,22.031,13.417,0.309,0.0,0.002,597.135,552.0,,,13.727
59,22.111,13.331,0.336,0.0,0.002,604.826,564.0,,,13.669
60,20.185,11.529,0.298,0.0,0.002,520.291,564.0,,,11.829
61,20.934,11.714,0.291,0.0,0.001,572.612,576.0,,,12.006
62,20.969,11.781,0.281,0.0,0.001,574.269,570.0,,,12.064
63,21.868,13.282,0.322,0.0,0.001,595.891,588.0,,,13.606
64,21.152,12.727,0.303,0.0,0.001,583.041,600.0,,,13.031
65,21.845,13.294,0.327,0.0,0.001,595.463,546.0,,,13.622
66,21.123,11.513,0.32,0.0,0.001,568.281,588.0,,,11.835
67,21.894,12.69,0.29,0.0,0.001,595.088,594.0,,,12.981
68,21.402,11.853,0.294,0.0,0.001,583.703,546.0,,,12.147
69,22.606,13.622,0.305,0.0,0.001,619.104,576.0,,,13.928
70,19.629,12.941,0.293,0.0,0.001,588.148,570.0,,,13.235
71,20.89,11.948,0.292,0.0,0.001,576.319,546.0,,,12.241
72,21.582,12.537,0.298,0.0,0.001,583.33,552.0,,,12.836
73,21.576,13.545,0.331,0.0,0.001,606.049,600.0,,,13.878
74,21.478,12.8,0.307,0.0,0.001,594.849,576.0,,,13.108
75,22.054,13.953,0.346,0.0,0.001,623.128,582.0,,,14.3
76,22.921,14.392,0.364,0.0,0.001,631.108,564.0,,,14.757
77,21.971,13.583,0.347,0.0,0.001,616.933,552.0,,,13.93
78,22.469,14.379,0.361,0.0,0.001,621.387,588.0,,,14.74
79,21.366,14.091,0.354,0.0,0.001,583.201,588.0,,,14.446
80,21.893,13.279,0.349,0.0,0.001,576.723,564.0,,,13.628
81,22.067,12.895,0.349,0.0,0.001,609.997,600.0,,,13.245
82,21.883,12.998,0.389,0.0,0.001,607.701,564.0,,,13.388
83,21.951,13.467,0.374,0.0,0.001,620.13,588.0,,,13.841
84,22.86,14.496,0.398,0.0,0.001,633.455,546.0,,,14.895
85,21.9,14.061,0.39,0.0,0.001,596.943,582.0,,,14.451
86,21.593,13.639,0.354,0.0,0.001,592.027,582.0,,,13.994
87,21.751,11.728,0.365,0.0,0.001,599.954,594.0,,,12.094
88,21.932,12.402,0.35,0.0,0.001,615.885,588.0,,,12.753
89,23.456,13.146,0.371,0.0,0.0,663.445,564.0,,,13.518
90,22.08,13.692,0.38,0.0,0.0,607.036,546.0,,,14.073
91,23.716,14.283,0.388,0.0,0.0,685.981,570.0,,,14.671
92,22.121,13.711,0.372,0.0,0.0,641.773,576.0,,,14.084
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
120,0.0,101.801,0.0,0.0,2.223,564.54,0.0,,,104.024
121,19.964,13.677,0.336,0.0,0.0,611.809,570.0,,,14.014
122,21.206,12.446,0.366,0.0,0.0,701.326,546.0,,,12.813
123,22.502,11.693,0.399,0.0,0.0,704.377,546.0,,,12.092
124,22.272,11.655,0.413,0.0,0.0,684.456,546.0,,,12.067
125,21.349,10.815,0.384,0.0,0.0,677.302,570.0,,,11.199
126,21.142,10.167,0.356,0.0,0.0,643.868,576.0,,,10.523
127,21.142,10.167,0.356,0.0,0.0,643.868,576.0,,,10.523
128,20.732,10.488,0.383,0.0,0.0,619.366,576.0,,,10.871
129,22.073,11.629,0.388,0.0,0.0,655.095,576.0,,,12.017
130,21.464,11.862,0.35,0.0,0.0,616.542,564.0,,,12.211
131,22.774,12.573,0.37,0.0,0.0,691.491,564.0,,,12.944
132,22.177,13.479,0.396,0.0,0.0,667.695,558.0,,,13.875
133,22.177,13.479,0.396,0.0,0.0,667.695,558.0,,,13.875
134,22.256,12.095,0.425,0.0,0.0,654.958,594.0,,,12.52
135,22.812,13.161,0.442,0.0,0.0,672.194,600.0,,,13.603
136,22.812,13.161,0.442,0.0,0.0,672.194,600.0,,,13.603
137,22.812,13.161,0.442,0.0,0.0,672.194,600.0,,,13.603
138,22.356,12.898,0.433,0.0,0.0,658.75,588.0,,,13.331
139,21.238,12.253,0.412,0.0,0.0,625.813,570.0,,,12.664
140,21.026,12.13,0.408,0.0,0.0,619.555,594.0,,,12.538
141,19.764,11.403,0.383,0.0,0.0,582.382,564.0,,,11.786
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
